,INCIDENT_NUMBER,OFFENSE_DESCRIPTION,DISTRICT,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long
39,212095441,ASSAULT - AGGRAVATED,B3,False,2021-12-31 15:27:00,2021,12,Friday,15,GILMER ST,42.28281073542675,-71.09722321342178
40,212095439,THREATS TO DO BODILY HARM,B2,False,2021-11-24 16:26:00,2021,11,Wednesday,16,WASHINGTON ST,42.32866283555608,-71.08563401183545
41,212095438,M/V ACCIDENT - OTHER,D14,False,2021-12-31 14:46:00,2021,12,Friday,14,KELTON ST,42.34731412569644,-71.13770455740506
42,212095433,INVESTIGATE PERSON,D14,False,2021-12-31 14:33:00,2021,12,Friday,14,EVERETT ST,42.36053147482123,-71.13644288576312
43,212095423,TOWED MOTOR VEHICLE,B2,False,2021-12-31 14:02:00,2021,12,Friday,14,WASHINGTON ST,42.33066305064574,-71.08317741214948
44,212095420,ASSAULT - SIMPLE,B3,False,2021-12-31 13:24:00,2021,12,Friday,13,AMERICAN LEGION HWY,42.29385182824426,-71.09373071262159
45,212095417,INVESTIGATE PROPERTY,D14,False,2021-12-31 13:06:00,2021,12,Friday,13,BRAINTREE ST,42.35631414864463,-71.13567791668265
46,212095416,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,False,2021-12-31 13:24:00,2021,12,Friday,13,MISSION PARK DR,42.334068846193226,-71.10748198238643
47,212095411,FRAUD - FALSE PRETENSE / SCHEME,D14,False,2021-12-31 13:59:00,2021,12,Friday,13,WASHINGTON ST,42.34905600030506,-71.15049849975023
48,212095409,VANDALISM,B2,False,2021-12-31 13:45:00,2021,12,Friday,13,HUTCHINGS ST,42.31026891035492,-71.08931055058088
49,212095404,VERBAL DISPUTE,B2,False,2021-12-31 00:00:00,2021,12,Friday,0,RUGGLES ST,42.33174820315374,-71.08365659411294
50,212095403,AUTO THEFT,D14,False,2021-12-31 13:01:00,2021,12,Friday,13,WASHINGTON ST,42.34905600030506,-71.15049849975023
51,212095398,SICK ASSIST,B2,False,2021-12-31 00:00:00,2021,12,Friday,0,GUILD ST,42.32695551298448,-71.0894844237365
52,212095393,AUTO THEFT,B2,False,2021-12-31 12:21:00,2021,12,Friday,12,HUTCHINGS ST,42.31026891035492,-71.08931055058088
53,212095388,AUTO THEFT,D14,False,2021-12-31 11:42:00,2021,12,Friday,11,WASHINGTON ST,42.34905600030506,-71.15049849975023
54,212095386,MISSING PERSON - LOCATED,B2,False,2021-12-30 22:30:00,2021,12,Thursday,22,HOLWORTHY ST,42.316321305820594,-71.08923049704752
55,212095378,INVESTIGATE PROPERTY,B3,False,2021-12-31 10:29:00,2021,12,Friday,10,MORTON ST,42.28560167185806,-71.09317129740397
56,212095374,LARCENY THEFT FROM BUILDING,D14,False,2021-12-31 10:31:00,2021,12,Friday,10,WASHINGTON ST,42.34905600030506,-71.15049849975023
57,212095371,AUTO THEFT,B2,False,2021-12-31 10:27:00,2021,12,Friday,10,ROXBURY ST,42.32952035449152,-71.08530640838333
58,212095366,ASSAULT - SIMPLE,D14,False,2021-12-31 09:37:00,2021,12,Friday,9,WASHINGTON ST,42.3489330747303,-71.16177266302515
59,212095356,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,False,2021-12-31 07:43:00,2021,12,Friday,7,"TALBOT AVE & KERWIN ST
DORCHESTER  MA 02124
UNITED",42.29332003431664,-71.0825600445308
60,212095354,LARCENY THEFT FROM BUILDING,B3,False,2021-12-31 06:54:00,2021,12,Friday,6,BLUE HILL AVE,42.28482576580488,-71.09137368938802
61,212095337,M/V ACCIDENT - PROPERTY DAMAGE,D14,False,2021-12-31 00:31:00,2021,12,Friday,0,WESTERN AVE,42.36284172499237,-71.13792233554409
62,212095334,TOWED MOTOR VEHICLE,B2,False,2021-12-31 00:10:00,2021,12,Friday,0,"LAWRENCE AVE & NORMANDY ST
DORCHESTER  MA 02121
UN",42.312224032900986,-71.0773239658803
63,212095329,ASSAULT - SIMPLE,B3,False,2021-12-30 22:32:00,2021,12,Thursday,22,KINGBIRD RD,42.292340258639264,-71.09338240488354
64,212095328,INVESTIGATE PERSON,B3,False,2021-12-30 23:03:00,2021,12,Thursday,23,GREENWOOD ST,42.30007731353582,-71.07990163975134
65,212095301,ASSAULT - SIMPLE,B2,False,2021-12-30 18:50:00,2021,12,Thursday,18,MCGREEVEY WAY,42.33431858702245,-71.09621109538546
66,212095298,SICK ASSIST,B2,False,2021-12-30 18:55:00,2021,12,Thursday,18,DUDLEY ST,42.32883627064524,-71.0845984913222
67,212095297,HARASSMENT/ CRIMINAL HARASSMENT,B2,False,2021-12-30 11:00:00,2021,12,Thursday,11,FENWOOD RD,42.334682686796334,-71.10699046237603
68,212095293,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,False,2021-12-30 19:31:00,2021,12,Thursday,19,ITASCA ST,42.27246009345381,-71.10352420523184
69,212095275,ASSAULT - AGGRAVATED,B2,False,2021-12-30 17:22:00,2021,12,Thursday,17,WASHINGTON ST,42.33044113294782,-71.08373480990272
70,212095273,FRAUD - FALSE PRETENSE / SCHEME,D14,False,2021-12-30 18:10:00,2021,12,Thursday,18,WASHINGTON ST,42.34905600030506,-71.15049849975023
71,212095267,FIRE REPORT,D14,False,2021-12-30 16:51:00,2021,12,Thursday,16,HOBART ST,42.35501393570127,-71.15969591818359
72,212095260,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,False,2021-12-27 19:00:00,2021,12,Monday,19,WASHINGTON ST,42.32866283555608,-71.08563401183545
73,212095259,INVESTIGATE PERSON,B2,False,2021-12-30 16:45:00,2021,12,Thursday,16,ALLEGHANY ST,42.33056976709614,-71.0995908942997
74,212095252,FRAUD - FALSE PRETENSE / SCHEME,D14,False,2021-12-30 16:51:00,2021,12,Thursday,16,WASHINGTON ST,42.34905600030506,-71.15049849975023
75,212095248,FRAUD - FALSE PRETENSE / SCHEME,B3,False,2021-12-30 16:23:00,2021,12,Thursday,16,COLUMBIA RD,42.30355747915789,-71.08311604425978
76,212095246,AUTO THEFT,D14,False,2021-12-30 16:06:00,2021,12,Thursday,16,WASHINGTON ST,42.34905600030506,-71.15049849975023
77,212095243,LARCENY THEFT FROM BUILDING,D14,False,2021-12-24 12:00:00,2021,12,Friday,12,GARDNER ST,42.35358821670218,-71.12689571386555
78,212095242,M/V ACCIDENT - OTHER,B2,False,2021-12-30 15:37:00,2021,12,Thursday,15,"BLUE HILL AVE & CLIFFORD ST
ROXBURY  MA 02119
UNIT",42.31904095915661,-71.07775399146878
79,212095240,FRAUD - WIRE,B3,False,2021-08-30 00:00:00,2021,8,Monday,0,BLUE HILL AVE,42.28482576580488,-71.09137368938802
80,212095239,SICK/INJURED/MEDICAL - PERSON,B2,False,2021-12-30 15:41:00,2021,12,Thursday,15,BISHOP JOE L SMITH WAY,42.30660387987266,-71.08055038375345
81,212095238,SICK ASSIST,B3,False,2021-12-30 14:56:00,2021,12,Thursday,14,DUNLAP ST,42.2928107904335,-71.07327594083033
82,212095234,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,False,2021-12-30 13:35:00,2021,12,Thursday,13,WASHINGTON ST,42.34905600030506,-71.15049849975023
83,212095230,TOWED MOTOR VEHICLE,D14,False,2021-12-30 14:31:00,2021,12,Thursday,14,S CRESCENT CIRT,42.34765044397319,-71.16667608338989
84,212095221,HARASSMENT/ CRIMINAL HARASSMENT,D14,False,2021-12-30 14:26:00,2021,12,Thursday,14,WASHINGTON ST,42.34905600030506,-71.15049849975023
85,212095217,TRESPASSING,B2,False,2021-12-30 12:44:00,2021,12,Thursday,12,ROCKLAND ST,42.32188452678773,-71.08306612138695
86,212095216,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,False,2021-12-30 11:58:00,2021,12,Thursday,11,WASHINGTON ST,42.3077502395542,-71.08273084088506
87,212095199,LARCENY ALL OTHERS,B2,False,2021-12-29 16:00:00,2021,12,Wednesday,16,WASHINGTON ST,42.32866283555608,-71.08563401183545
88,212095197,SICK ASSIST,B3,False,2021-12-30 11:29:00,2021,12,Thursday,11,ERIE ST,42.30153144100214,-71.08257818713801
89,212095190,M/V ACCIDENT - PROPERTY DAMAGE,B2,False,2021-12-30 11:10:00,2021,12,Thursday,11,"CENTRE ST & COLUMBUS AVE
ROXBURY  MA 02119
UNITED ",42.324906961055135,-71.09825795741797
90,212095186,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,B2,False,2021-12-29 20:00:00,2021,12,Wednesday,20,SACHEM ST,42.33151288438464,-71.10494900707664
91,212095185,MISSING PERSON,B2,False,2021-12-17 09:00:00,2021,12,Friday,9,PARKER HILL AVE,42.33267993726428,-71.10957900161517
92,212095183,ASSAULT - AGGRAVATED,B3,False,2021-12-30 09:37:00,2021,12,Thursday,9,REGIS RD,42.270642054826254,-71.09587907849917
93,212095175,FORGERY / COUNTERFEITING,B2,False,2021-12-25 00:00:00,2021,12,Saturday,0,WASHINGTON ST,42.32866283555608,-71.08563401183545
94,212095171,VANDALISM,B2,False,2021-12-30 09:10:00,2021,12,Thursday,9,ANNUNCIATION RD,42.3350621776333,-71.0931678123782
95,212095166,M/V ACCIDENT - PROPERTY DAMAGE,B2,False,2021-12-30 09:22:00,2021,12,Thursday,9,"ALBANY ST & MELNEA CASS BLVD
ROXBURY  MA 02119
UNI",42.33117798964968,-71.07700797530123
96,212095155,TOWED MOTOR VEHICLE,B2,False,2021-12-30 08:06:00,2021,12,Thursday,8,WAUMBECK ST,42.31496144939474,-71.08952210102635
97,212095150,INVESTIGATE PERSON,B3,False,2021-12-30 05:44:00,2021,12,Thursday,5,SOUTHERN AVE,42.29026232919214,-71.07473855621357
98,212095141,SICK ASSIST - DRUG RELATED ILLNESS,B3,False,2021-12-30 02:37:00,2021,12,Thursday,2,NORWELL ST,42.30132851113351,-71.0787087269764
99,212095137,INVESTIGATE PROPERTY,B3,False,2021-12-30 01:37:00,2021,12,Thursday,1,WOOLSON ST,42.28121226605384,-71.08941723495543
100,212095135,SICK/INJURED/MEDICAL - PERSON,D14,False,2021-12-30 02:09:00,2021,12,Thursday,2,FAIRBANKS ST,42.35071343876632,-71.1629649668814
101,212095133,MISSING PERSON,D14,False,2021-12-30 02:32:00,2021,12,Thursday,2,WASHINGTON ST,42.34905600030506,-71.15049849975023
102,212095132,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,False,2021-12-29 19:32:00,2021,12,Wednesday,19,BERNARD ST,42.29350930728568,-71.07991322860983
103,212095127,VAL - OPERATING AFTER REV/SUSP.,B2,False,2021-12-29 23:49:00,2021,12,Wednesday,23,WARREN ST,42.31295496588224,-71.0834507179483
104,212095123,M/V ACCIDENT - PROPERTY DAMAGE,B3,False,2021-12-29 22:44:00,2021,12,Wednesday,22,BLUE HILL AVE,42.269098509623966,-71.0936145778819
105,212095121,THREATS TO DO BODILY HARM,B2,False,2021-12-29 21:00:00,2021,12,Wednesday,21,DEVON ST,42.30812618751114,-71.07692973888375
106,212095114,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,False,2021-12-29 22:34:00,2021,12,Wednesday,22,GLENWAY ST,42.29918970386884,-71.08150445078421
107,212095105,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,False,2021-12-29 15:00:00,2021,12,Wednesday,15,ASHTON ST,42.28671244298007,-71.08947257791597
108,212095094,SICK ASSIST - DRUG RELATED ILLNESS,B2,False,2021-12-29 20:16:00,2021,12,Wednesday,20,MCGREEVEY WAY,42.33528036794274,-71.0987126025212
109,212095079,LARCENY THEFT FROM BUILDING,D14,False,2021-12-29 12:29:00,2021,12,Wednesday,12,WALBRIDGE ST,42.34740587538171,-71.1353256611246
110,212095075,PROPERTY - LOST/ MISSING,B3,False,2021-12-29 18:44:00,2021,12,Wednesday,18,"FRONTENAC ST & LUCERNE ST
DORCHESTER  MA 02124
UNI",42.284458997914825,-71.08930698364837
111,212095071,SICK ASSIST,B2,False,2021-12-29 18:08:00,2021,12,Wednesday,18,ALLEGHANY ST,42.33056976709614,-71.0995908942997
112,212095069,INVESTIGATE PERSON,D14,False,2021-12-29 00:00:00,2021,12,Wednesday,0,WASHINGTON ST,42.34905600030506,-71.15049849975023
113,212095068,ASSAULT - AGGRAVATED,B2,False,2021-12-29 17:15:00,2021,12,Wednesday,17,"DUDLEY ST & COLUMBIA RD
BOSTON  MA 02125
UNITED ST",42.31701001868132,-71.06508995475389
114,212095067,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D14,False,2021-12-29 18:00:00,2021,12,Wednesday,18,PARK VALE AVE,42.351824463885535,-71.13313369007304
115,212095063,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D14,False,2021-12-29 16:21:00,2021,12,Wednesday,16,"CHESTNUT HILL AVE & HATHERLY RD
BRIGHTON  MA 02135",42.34261701456643,-71.15384798252252
116,212095062,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,False,2021-12-29 16:46:00,2021,12,Wednesday,16,MORELAND ST,42.32306312846994,-71.07709874563007
117,212095061,VAL - VIOLATION OF AUTO LAW,B2,False,2021-12-29 16:39:00,2021,12,Wednesday,16,HIGHLAND ST,42.3232004041107,-71.09508127736893
118,212095053,VANDALISM,B3,False,2021-12-29 15:35:00,2021,12,Wednesday,15,BLUE HILL AVE,42.29908734060767,-71.08652243090454
119,212095047,INVESTIGATE PERSON,B2,False,2021-12-29 15:43:00,2021,12,Wednesday,15,MARTIN LUTHER KING JR BLVD,42.31847226230559,-71.084092886743
120,212095046,FRAUD - FALSE PRETENSE / SCHEME,B3,False,2021-12-29 16:17:00,2021,12,Wednesday,16,RIVER ST,42.26956689298912,-71.09075049266373
121,212095032,INVESTIGATE PROPERTY,D14,False,2021-12-29 14:58:00,2021,12,Wednesday,14,CENACLE RD,42.34635687795952,-71.16149497736505
122,212095031,BALLISTICS EVIDENCE/FOUND,B2,True,2021-12-29 15:06:00,2021,12,Wednesday,15,SOJOURNER TRUTH CT,42.33426819435391,-71.0849913976351
123,212095025,ASSAULT - AGGRAVATED,B2,False,2021-12-29 14:50:00,2021,12,Wednesday,14,BLUE HILL AVE,42.30889840345595,-71.08305190474378
124,212095020,HARASSMENT/ CRIMINAL HARASSMENT,B3,False,2021-12-29 14:46:00,2021,12,Wednesday,14,BLUE HILL AVE,42.291056464594725,-71.08933752421984
125,212095015,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,False,2021-12-29 14:10:00,2021,12,Wednesday,14,W SELDEN ST,42.27967491935417,-71.08381263322309
126,212095006,VAL - OPERATING W/O AUTHORIZATION LAWFUL,B2,False,2021-12-21 16:30:00,2021,12,Tuesday,16,FENWOOD RD,42.33611273824143,-71.10927826017357
127,212095001,BURGLARY - RESIDENTIAL,B3,False,2021-12-29 12:28:00,2021,12,Wednesday,12,TENNIS RD,42.27615691256162,-71.0955030303829
128,212094990,M/V ACCIDENT - PERSONAL INJURY,B3,False,2021-12-29 12:41:00,2021,12,Wednesday,12,"ELLINGTON ST & OLD RD
DORCHESTER  MA 02121
UNITED ",42.30258096068864,-71.08476596816188
129,212094983,INVESTIGATE PERSON,D14,False,2021-12-29 12:34:00,2021,12,Wednesday,12,WASHINGTON ST,42.34905600030506,-71.15049849975023
130,212094982,INVESTIGATE PERSON,D14,False,2021-12-29 11:17:00,2021,12,Wednesday,11,SEATTLE ST,42.36015659748151,-71.12494689853955
131,212094980,M/V ACCIDENT - PERSONAL INJURY,D14,False,2021-12-29 11:39:00,2021,12,Wednesday,11,"WASHINGTON ST & FAIRBANKS ST
BOSTON  MA 02135
UNIT",42.34904998590674,-71.16311004283732
132,212094974,M/V ACCIDENT - PERSONAL INJURY,B2,False,2021-12-29 11:49:00,2021,12,Wednesday,11,WASHINGTON ST,42.318515336572005,-71.09560595881274
133,212094958,AUTO THEFT,D14,False,2021-12-28 03:50:00,2021,12,Tuesday,3,WASHINGTON ST,42.34905600030506,-71.15049849975023
134,212094955,TOWED MOTOR VEHICLE,B2,False,2021-12-29 10:05:00,2021,12,Wednesday,10,"COLUMBIA RD & DUDLEY ST
DORCHESTER  MA 02125
UNITE",42.31705298210659,-71.0652140008863
135,212094949,PROPERTY - LOST/ MISSING,B2,False,2021-12-24 11:00:00,2021,12,Friday,11,ABBOTSFORD ST,42.3142057292054,-71.0913428240209
136,212094947,AUTO THEFT,D14,False,2021-12-29 10:57:00,2021,12,Wednesday,10,WASHINGTON ST,42.34905600030506,-71.15049849975023
137,212094937,ASSAULT - SIMPLE,D14,False,2021-12-29 09:39:00,2021,12,Wednesday,9,BEACON ST,42.33358200229403,-71.16609100025916
138,212094935,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,False,2021-12-29 09:00:00,2021,12,Wednesday,9,GUEST ST,42.35674412427863,-71.14367007305148
139,212094932,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,False,2021-12-29 09:00:00,2021,12,Wednesday,9,DENBY RD,42.35542031631827,-71.1348489206777
140,212094927,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,False,2021-12-28 21:40:00,2021,12,Tuesday,21,BEACON ST,42.33626663670688,-71.14950270888421
141,212094922,SICK/INJURED/MEDICAL - PERSON,D14,False,2021-12-29 06:57:00,2021,12,Wednesday,6,TREMONT ST,42.35115367578162,-71.17291562638388
142,212094921,INVESTIGATE PERSON,D14,False,2021-12-29 07:02:00,2021,12,Wednesday,7,CHISWICK RD,42.33996910554088,-71.15048614664572
143,212094920,SICK/INJURED/MEDICAL - PERSON,B3,False,2021-12-29 06:33:00,2021,12,Wednesday,6,BLUE HILL AVE,42.28482576580488,-71.09137368938802
144,212094919,INVESTIGATE PERSON,B2,False,2021-12-29 06:53:00,2021,12,Wednesday,6,WINTHROP ST,42.3242406894884,-71.07761916640617
145,212094916,SICK ASSIST,B2,False,2021-12-29 05:57:00,2021,12,Wednesday,5,SHAWMUT AVE,42.331925323407006,-71.08411221708074
146,212094911,INVESTIGATE PERSON,B3,False,2021-12-29 05:33:00,2021,12,Wednesday,5,CALLENDER ST,42.28785393410551,-71.08679684409852
147,212094902,VERBAL DISPUTE,B3,False,2021-12-29 01:36:00,2021,12,Wednesday,1,WOODROW AVE,42.28684571001114,-71.08545029593535
148,212094899,INVESTIGATE PROPERTY,B3,False,2021-12-29 02:04:00,2021,12,Wednesday,2,"LYFORD ST & STRATTON ST
DORCHESTER  MA 02124
UNITE",42.2887580281569,-71.08382702928915
149,212094894,SICK ASSIST,B3,False,2021-12-28 17:24:00,2021,12,Tuesday,17,CHARLOTTE ST,42.29944215455069,-71.08489748232857
150,212094883,INVESTIGATE PROPERTY,B3,False,2021-12-28 22:56:00,2021,12,Tuesday,22,TALBOT AVE,42.29453954303396,-71.08669889996908
151,212094879,SICK ASSIST,B3,False,2021-12-28 22:17:00,2021,12,Tuesday,22,SUTTON ST,42.28197224183185,-71.0891245886923
152,212094876,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,False,2021-12-24 13:30:00,2021,12,Friday,13,COLUMBIA RD,42.31596900051565,-71.06625300015122
153,212094873,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,False,2021-12-21 00:00:00,2021,12,Tuesday,0,WASHINGTON ST,42.34905600030506,-71.15049849975023
154,212094872,ASSAULT - AGGRAVATED,B2,False,2021-12-28 21:52:00,2021,12,Tuesday,21,DUDLEY ST,42.32872588572028,-71.08382216968015
155,212094867,INVESTIGATE PERSON,B3,False,2021-12-28 20:55:00,2021,12,Tuesday,20,NIGHTINGALE ST,42.294743121884856,-71.08503785643556
156,212094860,ASSAULT - AGGRAVATED,B2,True,2021-12-28 20:55:00,2021,12,Tuesday,20,SAINT ALPHONSUS ST,42.3346420372182,-71.10025069370285
157,212094858,INVESTIGATE PROPERTY,B2,False,2021-12-10 18:00:00,2021,12,Friday,18,QUINCY ST,42.316209843369045,-71.08234965593898
158,212094857,LARCENY SHOPLIFTING,B3,False,2021-12-28 20:41:00,2021,12,Tuesday,20,RIVER ST,42.27130225372019,-71.07442361965835
159,212094855,ASSAULT - SIMPLE,D14,False,2021-12-28 20:10:00,2021,12,Tuesday,20,BRIGHTON AVE,42.3530111865124,-71.13261450756816
160,212094844,INVESTIGATE PROPERTY,B3,False,2021-12-28 19:22:00,2021,12,Tuesday,19,THEODORE ST,42.28406984588337,-71.08824920193648
161,212094841,INVESTIGATE PERSON,B3,False,2021-12-28 19:12:00,2021,12,Tuesday,19,BLUE HILL AVE,42.29576380381549,-71.08756001916733
162,212094835,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,False,2021-12-25 18:26:00,2021,12,Saturday,18,BLUE HILL AVE,42.28482576580488,-71.09137368938802
163,212094833,MISSING PERSON - LOCATED,B3,False,2021-12-28 19:28:00,2021,12,Tuesday,19,TIVERTON RD,42.27867278913926,-71.08175721750791
164,212094828,INVESTIGATE PERSON,B3,False,2021-12-28 18:24:00,2021,12,Tuesday,18,CAPEN ST,42.28387658240919,-71.08099353973844
165,212094825,SICK ASSIST,B3,False,2021-12-28 17:45:00,2021,12,Tuesday,17,THANE ST,42.29557336134831,-71.07584328309261
